fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	line	aoi	char_index_in_line	original_fixation_index	is_fixation_adjusted	reader_id	text_id	word_index_in_text	sent_index_in_text	char_index_in_text	word	character	text_id_numeric	text_domain_numeric	reader_discipline_numeric	level_of_studies_numeric	expert_reading_label_numeric	expert_reading_label	word_with_punct	word_index_in_sent	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_clause_end	is_sent_end	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base	FFD	SFD	FD	FPRT	FRT	TFT	TFC	RRT	RPD_inc	RPD_exc	RBRT	Fix	FPF	RR	FPReg	TRC_out	TRC_in	LP	SL_in	SL_out	mean_acc_tq	mean_acc_bq	gender_numeric	age	discipline_level_of_studies_numeric
210	physics	11	0	0	0	1	1	1	314	33	29.0	2	7	637	58	210	False	2	p2	87	5	637	phasenrichtig	c	8	1	1	1	1	expert_reading	phasenrichtig	15	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	ADJD	phasenrichtig	13.0	adjd	phasenrichtig	13.0	pha-sen-rich-tig	4.0	0.00817507899599	0.00817507899599	0.00817507899599	4.21016568294	11.1302322794	0.126068429944	0.0155184320176	11882.3955699	28681.7524123	3840386.25057	8902323.65003	549377.816402	1220006.16444	122517.717992	212614.834031	3420.10969861	166.926938019	22.538692792	9.562e-05	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.54553604125977	28.86151695251465	21.27584457397461	21.69327545166016	10.341965675354004	8.704410552978516	9.768975257873535	10.45600700378418	7.9205685518682	7.646685851272196	268	0	268	774	774	1051	4	277	774	0	774	1	1	1	0	0	0	4	2	2	0.0	1.0	1.0	26.0	3
211	physics	11	0	0	0	1	1	1	303	34	33.0	2	7	646	67	211	False	2	p2	89	5	646	addieren	d	8	1	1	1	1	expert_reading	addieren	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VVFIN	addieren	8.0	vvfin	addieren	8.0	ad-die-ren	3.0	0.719406951647	0.997359637511	2.60785019972	1.57779024623	2.9966009983	9.95940596556	1.86221184212	42713.9457209	22284.8654526	3410887.31024	6973235.21605	739877.954409	1253984.19507	425045.091896	530626.118374	41334.1231877	66.2508401835	4.62709471173	0.0574184805902	0.353022882639	0.0	0.0	0.2043769749	0.428085856899	0.0	0.0	0.4087539498	1.2842575707	9.575538635253906	9.321197509765623	8.927024841308594	7.847833156585693	4.3905181884765625	4.554169178009033	2.7423787117004395	3.807083368301392	0.009828434078372	0.004589248499542	303	303	303	303	303	511	2	208	303	0	303	1	1	1	0	0	0	2	2	1	0.0	1.0	1.0	26.0	3
212	physics	11	0	0	0	1	1	1	238	17	34.0	2	7	656	77	212	False	2	p2	90	5	656	sich	h	8	1	1	1	1	expert_reading	sich	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRF	sich	4.0	prf	sich	4.0	sich	1.0	6557.46793998	6557.46793998	6566.55045274	6557.81946837	0.856171713799	6282.99841154	11211.8033194	6926.29480396	1064.22144025	990057.517976	2298056.06212	287477.77288	411907.636196	194753.386357	108862.23341	48925.779496	15113.3748159	6879.41072592	0.109257424523	0.373105981887	0.0	0.0	1254.85010065	21.404292845	0.0	0.0	4636.93750684	29.5379241261	4.660095691680908	2.1242144107818604	4.658560276031494	2.102989196777344	0.7013450264930725	3.11436414718628	1.2723207473754885	1.784059762954712	0.0004503904783632	0.0019274244550615	238	0	238	406	406	646	3	240	406	0	406	1	1	1	0	0	0	4	1	1	0.0	1.0	1.0	26.0	3
213	physics	11	0	0	0	1	1	1	168	34	17.0	2	7	654	75	213	False	2	p2	90	5	654	sich	i	8	1	1	1	1	expert_reading	sich	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRF	sich	4.0	prf	sich	4.0	sich	1.0	6557.46793998	6557.46793998	6566.55045274	6557.81946837	0.856171713799	6282.99841154	11211.8033194	6926.29480396	1064.22144025	990057.517976	2298056.06212	287477.77288	411907.636196	194753.386357	108862.23341	48925.779496	15113.3748159	6879.41072592	0.109257424523	0.373105981887	0.0	0.0	1254.85010065	21.404292845	0.0	0.0	4636.93750684	29.5379241261	4.660095691680908	2.1242144107818604	4.658560276031494	2.102989196777344	0.7013450264930725	3.11436414718628	1.2723207473754885	1.784059762954712	0.0004503904783632	0.0019274244550615	238	0	238	406	406	646	3	240	406	0	406	1	1	1	0	0	0	4	1	1	0.0	1.0	1.0	26.0	3
214	physics	11	0	0	0	1	1	1	210	25	34.0	2	7	664	85	214	False	2	p2	91	5	664	deshalb	.	8	1	1	1	1	expert_reading	deshalb.	19	7	0	$.	0	0	0	0	0	1	0	0	0	0	0	0	PAV	deshalb	7.0	adv	deshalb	7.0	des-halb	2.0	165.962278698	165.962278698	217.7268789	167.016863888	21.8323787019	787.675550289	311.65667021	10235.2561285	8575.84397127	1961002.59234	4449537.66727	315376.276364	359601.96577	182559.340425	39411.7244154	110461.430317	53801.2331077	7725.99738151	0.0057240684191	0.139436768851	0.0	0.0	87.9147995229	2.5685151414	0.0	0.0	87.9883752339	5.13703028279	7.951909065246582	7.116721153259277	9.612232208251951	9.595985412597656	9.770278930664062	8.858620643615723	9.296751022338867	9.653324127197266	32.31334209442139	33.46977424621582	210	210	210	210	210	452	2	242	3171	2719	452	1	1	1	1	1	0	8	1	-12	0.0	1.0	1.0	26.0	3
215	physics	11	0	0	0	1	1	1	232	26	25.0	2	6	570	85	215	False	2	p2	79	5	570	π-vielfaches	l	8	1	1	1	1	expert_reading	π-vielfaches	7	12	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NN	π-vielfaches	13.0	nn	π-vielfach	11.0	pi-viel-fa-ches	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.129432678222656	35.1092414855957	28.50701141357422	23.694828033447266	24.683395385742188	22.185447692871094	28.11481475830078	23.72506523132324	51.20053863525391	21.425126820337027	375	375	375	375	375	2531	12	2156	3765	2371	1394	1	1	1	1	2	1	3	1	-1	0.0	1.0	1.0	26.0	3
216	physics	11	0	0	0	1	1	1	158	128	26.0	2	6	576	91	216	False	2	p2	79	5	576	π-vielfaches	s	8	1	1	1	1	expert_reading	π-vielfaches	7	12	0	0	0	0	0	0	0	0	0	0	1	1	1	0	NN	π-vielfaches	13.0	nn	π-vielfach	11.0	pi-viel-fa-ches	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.129432678222656	35.1092414855957	28.50701141357422	23.694828033447266	24.683395385742188	22.185447692871094	28.11481475830078	23.72506523132324	51.20053863525391	21.425126820337027	375	375	375	375	375	2531	12	2156	3765	2371	1394	1	1	1	1	2	1	3	1	-1	0.0	1.0	1.0	26.0	3
217	physics	11	0	0	0	1	1	1	402	29	128.0	2	7	584	5	217	False	2	p2	81	5	584	Wellenlänge	e	8	1	1	1	1	expert_reading	Wellenlänge,	9	11	0	$,	0	0	0	0	0	0	0	0	1	0	0	0	NN	Wellenlänge	11.0	nn	Wellenlänge	11.0	wel-len-län-ge	4.0	1.82304261611	1.82304261611	2.79587701663	52.1161285995	188.357777036	11.5982955548	3.18127856361	50830.8835551	112729.132955	3938451.48161	8806627.19715	519064.639835	1146912.21671	194936.704328	326616.238153	13240.8075713	4570.94826919	879.744775996	0.00636613395067	0.128884490996	0.0	0.0	0.0	0.0	0.0	0.0	0.972834400523	0.428085856899	12.58745002746582	5.370946884155273	7.350166320800781	1.2108631134033203	5.713808536529541	0.5467306971549988	4.319347381591797	0.7702987194061279	23.929356642067432	24.45428609661758	119	0	119	418	418	1269	6	851	418	0	418	1	1	1	0	0	0	7	2	1	0.0	1.0	1.0	26.0	3
218	physics	11	0	0	0	1	1	1	281	34	29.0	2	7	594	15	218	False	2	p2	82	5	594	überlagern	e	8	1	1	1	1	expert_reading	überlagern	10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	VVFIN	überlagern	10.0	vvfin	überlagern	10.0	ü-ber-la-gern	4.0	0.269777606868	0.743932188635	2.23179656591	382.487420986	261.988544422	7.56410579663	1.4121773136	19956.7003671	41082.1154291	3350281.1659	7717498.86557	683738.959362	1298794.93831	251084.217808	358226.953998	4201.6554257	4185.99197435	3864.02466317	0.0489994023626	0.327162053747	1.43881390329	0.428085856899	1.47151421928	0.856171713799	1.43881390329	0.428085856899	1.50421453526	1.7123434276	12.363231658935549	13.214513778686523	12.053730964660645	12.397021293640137	8.896864891052246	7.624327659606934	10.383600234985352	5.90121603012085	1.6506057903170586	0.2248353213071823	466	0	466	1326	1326	1607	6	281	1326	0	1326	1	1	1	0	0	0	2	1	1	0.0	1.0	1.0	26.0	3
219	physics	11	0	0	0	1	1	1	219	26	34.0	2	7	608	29	219	False	2	p2	84	5	608	die	e	8	1	1	1	1	expert_reading	die	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ART	die	3.0	art	d	1.0	die	1.0	20527.116504	24520.1275636	80100.3069113	24520.1275636	0.428085856899	9091.29875697	30440.211361	33694.5118659	1928.95487119	1361337.08551	2613060.47141	356516.797331	303924.26305	343523.065172	189343.230678	110461.430317	29991.8223867	29048.3692201	0.0938387928357	0.266249299869	0.0	0.0	15201.9436218	35.5311261227	0.0	0.0	15852.8515865	58.2196765383	0.6685947179794312	1.1912503242492676	0.0947235226631164	0.5601814985275269	13.149524688720703	0.2804705202579498	13.293472290039062	0.243454098701477	0.7313072681427002	0.2326505035161972	192	192	192	192	192	411	2	219	192	0	192	1	1	1	0	0	0	2	1	1	0.0	1.0	1.0	26.0	3
220	physics	11	0	0	0	1	1	1	455	28	26.0	2	7	614	35	220	False	2	p2	85	5	614	reflektierten	k	8	1	1	1	1	expert_reading	reflektierten	13	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	ADJA	reflektierten	13.0	adja	reflektiert	11.0	re-flek-tier-ten	4.0	0.817507899599	0.997359637511	1.88026816908	2.80405209563	15.8391767053	7.56410579663	1.86221184212	30320.3542863	82772.9689467	5456518.98253	12295459.7214	832932.859376	1711866.96804	382015.743453	601175.095677	4443.89936651	2162.46372094	29.9616645203	0.0113109766639	0.27316531127	0.0	0.0	0.400578870804	2.1404292845	2.59150004173	0.856171713799	2.99207891253	2.9966009983	10.21421718597412	8.05157470703125	7.921755790710449	4.42748498916626	6.113415718078613	1.6005425453186035	5.818220615386963	0.5821068286895752	2.8817195296287537	0.0080611184239387	238	0	238	564	564	1557	5	993	564	0	564	1	1	1	0	0	1	2	1	1	0.0	1.0	1.0	26.0	3
221	physics	11	0	0	0	1	1	1	247	30	28.0	2	7	622	43	221	False	2	p2	86	5	622	Anteile	A	8	1	1	1	1	expert_reading	Anteile	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NN	Anteile	7.0	nn	Anteil	6.0	an-tei-le	3.0	5.04402374053	5.04402374053	53.5304172658	175.952225231	56.9354189676	39.9636922922	9.12483802637	24080.7742931	52324.0781171	2854178.90868	6284558.08697	383341.095435	753096.345003	178282.744051	274512.196166	19822.5963712	3723.58498109	499.718053788	0.0539400939254	0.295260453034	0.0	0.0	2.73865146366	2.5685151414	44.807607977	0.428085856899	48.976898265	5.13703028279	10.071426391601562	5.871180057525635	5.356386661529541	7.130777359008789	3.856078386306762	3.3912527561187744	4.227643489837647	2.823148012161255	0.2256292700767517	4.1790080070495605	190	190	190	190	190	437	2	247	728	538	190	1	1	1	1	1	0	1	1	-1	0.0	1.0	1.0	26.0	3
